,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sampit,ID,72.7,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
24,Rikitea,PF,72.41,clear sky,-23.1203,-134.9692,People ThankYou
34,Arraial Do Cabo,BR,71.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
38,Ninghai,CN,72.66,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
40,Vaini,TO,74.17,light rain,-21.2,-175.2,Keleti Beach Resort
41,Port Alfred,ZA,66.43,light rain,-33.5906,26.891,The Halyards Hotel
42,Nipawin,CA,74.39,overcast clouds,53.3668,-104.0009,Tobin Lake Motel
48,Dingle,PH,74.93,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
52,Bastia,FR,66.29,overcast clouds,42.6667,9.3333,Hotel Santa Maria
55,Pisco,PE,66.02,haze,-13.7,-76.2167,Hotel San Isidro Oficial
57,Ponta Do Sol,PT,72.23,scattered clouds,32.6667,-17.1,Hotel do Campo
61,Kang,BW,71.96,clear sky,-23.6752,22.7876,Kang Ultra Stop
64,Hami,CN,67.93,overcast clouds,42.8,93.45,Laoyutang Resort
69,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
74,Carnarvon,AU,68.38,clear sky,-24.8667,113.6333,Hospitality Carnarvon
79,Rubizhne,UA,66.72,overcast clouds,49.0123,38.3797,Stanytsya
80,Hasaki,JP,68.4,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
82,Antalaha,MG,66.22,clear sky,-14.9003,50.2788,Hotel Vitasoa
85,Cap Malheureux,MU,69.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
87,Portland,US,65.61,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
100,North Bend,US,65.91,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
102,Saint-Joseph,RE,72.46,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
112,Oyama,JP,68.94,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
113,Shetpe,KZ,69.3,broken clouds,44.1667,52.1167,Нұрберген Абыл
114,Ponta Delgada,PT,74.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
116,Antigonish,CA,65.14,overcast clouds,45.6169,-61.9986,Claymore Inn and Suites
118,Bataipora,BR,71.69,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
121,Katsuura,JP,68.02,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
122,Isangel,VU,74.23,overcast clouds,-19.55,169.2667,Tanna Lodge
