City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,51.96,82,75,12.66,broken clouds
1,Sampit,ID,-2.5333,112.95,72.7,97,97,1.97,overcast clouds
2,Mnogovershinnyy,RU,53.9353,139.9242,33.82,71,100,3.06,overcast clouds
3,Oussouye,SN,12.485,-16.5469,89.78,81,100,5.57,overcast clouds
4,Constitucion,CL,-35.3333,-72.4167,58.64,75,64,5.91,broken clouds
5,Iquitos,PE,-3.7481,-73.2472,97.11,37,100,1.66,overcast clouds
6,Porto Novo,BJ,6.4965,2.6036,76.19,86,97,7.27,overcast clouds
7,Ancud,CL,-41.8697,-73.8203,53.11,74,100,5.77,overcast clouds
8,New Norfolk,AU,-42.7826,147.0587,39.7,81,49,1.77,scattered clouds
9,Kruisfontein,ZA,-34.0033,24.7314,61.56,87,100,11.32,overcast clouds
10,Rafai,CF,4.95,23.9167,68.95,96,5,1.28,light rain
11,Fomboni,KM,-12.28,43.7425,75.61,75,9,4.09,clear sky
12,Ushuaia,AR,-54.8,-68.3,55.06,35,20,6.91,few clouds
13,Punta Arenas,CL,-53.15,-70.9167,55.51,44,40,23.02,scattered clouds
14,Clyde River,CA,70.4692,-68.5914,28.63,93,75,9.22,fog
15,Uruzgan,AF,32.8333,66.0,64.99,16,0,1.28,clear sky
16,Pacific Grove,US,36.6177,-121.9166,77.38,81,0,10.0,clear sky
17,Mar Del Plata,AR,-38.0023,-57.5575,59.02,67,0,13.8,clear sky
18,Butaritari,KI,3.0707,172.7902,82.11,75,100,17.49,overcast clouds
19,Kaitangata,NZ,-46.2817,169.8464,34.29,88,12,6.8,few clouds
20,Kenai,US,60.5544,-151.2583,50.02,93,89,12.71,light rain
21,Yavaros,MX,26.7,-109.5167,95.45,43,0,4.14,clear sky
22,Mataura,NZ,-46.1927,168.8643,42.48,95,19,1.74,few clouds
23,Dikson,RU,73.5069,80.5464,35.26,85,15,16.82,few clouds
24,Rikitea,PF,-23.1203,-134.9692,72.41,63,0,11.3,clear sky
25,Bredasdorp,ZA,-34.5322,20.0403,56.12,95,100,5.59,overcast clouds
26,Chuy,UY,-33.6971,-53.4616,58.96,61,100,9.37,overcast clouds
27,Hermanus,ZA,-34.4187,19.2345,59.81,82,100,9.91,overcast clouds
28,Port Blair,IN,11.6667,92.75,81.03,83,95,13.4,moderate rain
29,Castro,BR,-24.7911,-50.0119,53.87,92,100,9.31,overcast clouds
30,Talcahuano,CL,-36.7167,-73.1167,56.88,77,100,8.05,overcast clouds
31,Hobyo,SO,5.3505,48.5268,77.0,84,79,20.27,broken clouds
32,Coquimbo,CL,-29.9533,-71.3436,56.93,82,100,10.36,overcast clouds
33,Makakilo City,US,21.3469,-158.0858,82.0,68,11,8.88,few clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,73,75,13.8,broken clouds
35,Pauini,BR,-7.7136,-66.9764,96.76,33,100,3.04,light rain
36,Hobart,AU,-42.8794,147.3294,40.05,94,53,9.22,broken clouds
37,Neenah,US,44.1858,-88.4626,61.21,58,40,0.0,scattered clouds
38,Ninghai,CN,29.2892,121.4247,72.66,95,94,2.19,overcast clouds
39,Divnogorsk,RU,55.9594,92.3619,34.29,93,100,4.63,overcast clouds
40,Vaini,TO,-21.2,-175.2,74.17,67,22,22.03,light rain
41,Port Alfred,ZA,-33.5906,26.891,66.43,84,100,13.67,light rain
42,Nipawin,CA,53.3668,-104.0009,74.39,34,95,5.86,overcast clouds
43,Kahului,US,20.8947,-156.47,79.97,90,31,7.0,scattered clouds
44,Broken Hill,AU,-31.95,141.4333,48.97,63,2,8.66,clear sky
45,Albany,US,42.6001,-73.9662,61.57,60,5,1.01,clear sky
46,Upernavik,GL,72.7868,-56.1549,21.2,86,17,9.31,few clouds
47,Inuvik,CA,68.3499,-133.7218,33.75,92,33,7.94,scattered clouds
48,Dingle,PH,10.9995,122.6711,74.93,94,100,4.88,overcast clouds
49,Saskylakh,RU,71.9167,114.0833,24.37,96,100,8.14,overcast clouds
50,San Jose,US,37.3394,-121.895,81.45,59,0,5.75,clear sky
51,Huntingdon,GB,52.3305,-0.1865,58.26,74,62,5.21,light rain
52,Bastia,FR,42.6667,9.3333,66.29,76,100,8.05,overcast clouds
53,Qaanaaq,GL,77.484,-69.3632,15.17,85,63,5.88,broken clouds
54,Morondava,MG,-20.2833,44.2833,76.35,81,1,12.48,clear sky
55,Pisco,PE,-13.7,-76.2167,66.02,77,4,10.36,haze
56,Cayenne,GF,4.9333,-52.3333,89.64,58,3,13.8,clear sky
57,Ponta Do Sol,PT,32.6667,-17.1,72.23,75,44,5.08,scattered clouds
58,Tamale,GH,9.4008,-0.8393,76.46,84,64,4.34,light rain
59,Kralendijk,BQ,12.15,-68.2667,83.71,73,100,7.47,overcast clouds
60,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,100,20.71,overcast clouds
61,Kang,BW,-23.6752,22.7876,71.96,28,4,8.72,clear sky
62,Pyapon,MM,16.2833,95.6833,75.87,97,100,8.55,moderate rain
63,Yellowknife,CA,62.456,-114.3525,43.32,65,20,9.22,few clouds
64,Hami,CN,42.8,93.45,67.93,27,100,2.55,overcast clouds
65,Changji,CN,44.0167,87.3167,54.39,87,0,6.71,clear sky
66,Barrow,US,71.2906,-156.7887,32.02,86,100,16.11,mist
67,Busselton,AU,-33.65,115.3333,56.59,64,0,12.26,clear sky
68,Norman Wells,CA,65.282,-126.8329,44.64,61,40,17.27,scattered clouds
69,Avarua,CK,-21.2078,-159.775,73.45,78,40,12.66,scattered clouds
70,Geraldton,AU,-28.7667,114.6,61.21,63,7,5.75,clear sky
71,Anahuac,MX,27.2333,-100.15,87.67,26,0,12.1,clear sky
